Ticker,Name,Price,NWCI,CFOA,D/E,PAT,Dependent variables,,,,,
MMTC IS Equity,MMTC Ltd,35.5,1830.62,-1084390016,31.99109077,-148787136,0,,,,,
SI IS Equity,Supreme Industries Ltd,754,-1517.617,5472064000,32.46018982,3529149952,1,,,,,
GIP IS Equity,Gujarat Industries Power Co Ltd,78,-526.114,2807867904,33.0194664,1533261568,1,,,,,
EROS IS Equity,Eros International Media Ltd,166.95,-2284,8962400256,33.13042068,2839410688,1,,,,,
HMFC IS Equity,Himachal Futuristic Communications Ltd,16.4,3832.1,968499968,33.14260101,3070170112,1,,,,,
DEN IS Equity,DEN Networks Ltd,85.2,-441.34,439940000,33.71425629,-1327571072,0,,,,,
DBRL IS Equity,DB Realty Ltd,42.9,6647.595578,-5896770048,34.2623024,238193584,1,,,,,
VKI IS Equity,Vakrangee Ltd,226.95,5715.261,-657318976,34.45927811,3674599424,1,,,,,
NOCIL IS Equity,NOCIL Ltd,45.1,632.642,170274000,35.49960709,665367040,1,,,,,
INOL IS Equity,Inox Leisure Ltd,207,0,57921000,35.66896439,405509120,1,,,,,
FMGI IS Equity,Federal-Mogul Goetze India Ltd,310.2,0,0,36.30294418,721604928,1,,,,,
EVRIN IS Equity,Eveready Industries India Ltd,236.45,501.026,381632000,36.46367264,734955776,1,,,,,
KPDL IS Equity,Kolte-Patil Developers Ltd,109.95,2066.8,-74100000,36.60100555,1224198528,1,,,,,
FORH IS Equity,Fortis Healthcare Ltd,171,592.372,-413948000,36.63363647,-606347328,0,,,,,
NTCPH IS Equity,Natco Pharma Ltd,484.9,794.168715,631107328,36.6405983,1642344192,1,,,,,
VISP IS Equity,Visagar Polytex Ltd,24.8,30.810125,0,38.32039261,36396784,1,,,,,
BBTC IS Equity,Bombay Burmah Trading Co,368,720.466,7228290048,38.32580566,5115652096,1,,,,,
GRASIM IS Equity,Grasim Industries Ltd,3598.5,-2800.3,39937400832,38.70731354,26363418624,1,,,,,
KBL IS Equity,Karnataka Bank Ltd/The,95.55,0,-30234697728,39.50691605,6526151168,1,,,,,
PAG IS Equity,Page Industries Ltd,11480.0498,870.924219,1502094336,40.66586685,2014049792,1,,,,,
DCMS IS Equity,DCM Shriram Ltd,126.8,1769.3,880899968,40.85022736,2800557568,1,,,,,
RAI IS Equity,Rico Auto Industries Ltd,32.4,1241.8,-1177600000,40.93608475,32362724,1,,,,,
OINL IS Equity,Oil India Ltd,309.75,2732.7,29630500864,41.23921967,20868964352,1,,,,,
MRF IS Equity,MRF Ltd,34319.5,-747.4,15114399744,41.91437149,10521718784,1,,,,,
PKI IS Equity,Prakash Industries Ltd,29.3,-729,2033100032,42.09688568,3114099968,1,,,,,
